date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:07:30	112419/112419	---M--	200	added ('OK')	image/jpeg	etag:9def7879786e7a3a52bcc66ff386e4ef	http://trystack.mediumra.re/img/political-1.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/political-1.jpg	(from http://trystack.mediumra.re/home-political.html)
23:07:48	116689/116689	---M--	200	added ('OK')	image/jpeg	etag:553cff05972089c2d05ac829f680fee5	http://trystack.mediumra.re/img/restaurant-3.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/restaurant-3.jpg	(from http://trystack.mediumra.re/home-restaurant.html)
23:07:53	181596/181596	---M--	200	added ('OK')	image/jpeg	etag:eab36e427d001ac6efe05431b38dc6c9	http://trystack.mediumra.re/img/restaurant-1.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/restaurant-1.jpg	(from http://trystack.mediumra.re/home-restaurant.html)
23:07:54	158648/158648	---M--	200	added ('OK')	image/jpeg	etag:2d819b047c56fb9c07917b3e6d2bf5cc	http://trystack.mediumra.re/img/restaurant-2.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/restaurant-2.jpg	(from http://trystack.mediumra.re/home-restaurant.html)
23:07:57	168761/168761	---M--	200	added ('OK')	image/jpeg	etag:112e35adebd79259f19823ace053901a	http://trystack.mediumra.re/img/restaurant-4.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/restaurant-4.jpg	(from http://trystack.mediumra.re/home-restaurant.html)
23:07:58	2293/2293	---M--	200	added ('OK')	image/png	etag:4561b6f3e498f50f7d629c2764fa0a64	http://trystack.mediumra.re/img/partner-1.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/partner-1.png	(from http://trystack.mediumra.re/home-recruitment.html)
23:08:00	8124/8124	---M--	200	added ('OK')	image/png	etag:b480d8afbdbc1bc15355c515fddd355c	http://trystack.mediumra.re/img/partner-5.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/partner-5.png	(from http://trystack.mediumra.re/home-recruitment.html)
23:08:02	6331/6331	---M--	200	added ('OK')	image/png	etag:a090d37f7beaa967f8014f2c6fa15d5f	http://trystack.mediumra.re/img/partner-7.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/partner-7.png	(from http://trystack.mediumra.re/home-recruitment.html)
23:08:02	2531/2531	---M--	200	added ('OK')	image/png	etag:0c86d0f75004eb0ac3ae4cfbe0295c75	http://trystack.mediumra.re/img/partner-4.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/partner-4.png	(from http://trystack.mediumra.re/home-recruitment.html)
23:08:04	7675/7675	---M--	200	added ('OK')	image/png	etag:1d15d68bc544b38d10934ee7847a1f8b	http://trystack.mediumra.re/img/partner-6.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/partner-6.png	(from http://trystack.mediumra.re/home-recruitment.html)
